section,sample,e205Tl,err,age_ma,age_years,age_rounded,time
Opal Creek,Chang +12,-5.24,0.81,251.941,251941000,251941000,1069000
Taşkent,TK 2.75,-2.4,1.63,251.941,251941092,251941000,1069000
Waiheke,GIB 16,-2.6,1.67,251.941,251941000,251941000,1069000
Buchanan Lake,BL-481,-2.2,1.25,251.939,251939406.8,251939000,1071000
Buchanan Lake,BL-495,-2.4,1.25,251.937,251937016.9,251937000,1073000
Dajiang,PDJ 44a,-4.1,1.41,251.937,251937000,251937000,1073000
Dajiang,PDJ 44b,-4.1,1.41,251.937,251937000,251937000,1073000
Waiheke,LIB 6,-4.1,1.67,251.936,251936000,251936000,1074000
Ubara,UB-20,-0.79,1.41,251.935,251935000,251935000,1075000
Buchanan Lake,BL-498,-2.4,1.25,251.932,251932237.3,251932000,1078000
Opal Creek,OC 3,-4.36,0.81,251.93,251930000,251930000,1080000
Buchanan Lake,BL-500,-1.9,1.25,251.929,251929050.8,251929000,1081000
Opal Creek,OC 63,-4.14,0.81,251.925,251925000,251925000,1085000
Buchanan Lake,BL-503,-2.8,1.25,251.924,251924271.2,251924000,1086000
Ubara,UB-21,-0.79,1.41,251.924,251924000,251924000,1086000
Dajiang,PDJ 47,-2.1,1.41,251.923,251923000,251923000,1087000
Opal Creek,OC 57,-3.31,0.81,251.92,251920000,251920000,1090000
Ubara,UB-22,-0.86,1.41,251.919,251919000,251919000,1091000
Dajiang,PDJ 49a,-2.5,1.41,251.917,251917000,251917000,1093000
Opal Creek,OC 50,-4.05,0.81,251.917,251917000,251917000,1093000
Gujo-Hachiman,GH-40,-2.77,1.46,251.916,251916409.8,251916000,1094000
Dajiang,PDJ 50,-1.4,1.41,251.914,251914000,251914000,1096000
Taşkent,TK 12.3,-0.8,1.63,251.912,251911793.7,251912000,1098000
Opal Creek,OC 37,-3.7,0.81,251.91,251910000,251910000,1100000
Buchanan Lake,BL-512,-2.4,1.25,251.909,251909135.6,251909000,1101000
Opal Creek,OC 64,-4.65,0.81,251.906,251906000,251906000,1104000
Opal Creek,OC 66,-4.84,0.81,251.904,251904000,251904000,1106000
Gujo-Hachiman,GH-4,-2.42,1.46,251.9,251900016.4,251900000,1110000
Opal Creek,OC 140,-4.32,0.81,251.9,251900000,251900000,1110000
Ubara,UB-24,-1.71,1.41,251.9,251900000,251900000,1110000
Opal Creek,OC 130,-4.81,0.81,251.897,251897000,251897000,1113000
Buchanan Lake,BL-518,-1.8,1.25,251.894,251894000,251894000,1116000
Opal Creek,OC 120,-4.9,0.81,251.893,251893000,251893000,1117000
Opal Creek,OC 118,-4.98,0.81,251.892,251892000,251892000,1118000
Opal Creek,OCS -2265,-4.4,0.81,251.892,251892000,251892000,1118000
Opal Creek,OC 112,-4.14,0.81,251.89,251890000,251890000,1120000
Opal Creek,OC 108,-4.14,0.81,251.887,251887000,251887000,1123000
Ubara,UB-25,-0.87,1.41,251.886,251886000,251886000,1124000
Opal Creek,OC 100,-4.51,0.81,251.884,251884000,251884000,1126000
Taşkent,TK 27.1,-0.6,1.63,251.881,251880564.3,251881000,1129000
Buchanan Lake,BL-522,-2.7,1.25,251.874,251874084.7,251874000,1136000
Taşkent,TK 40.1,-1.5,1.63,251.861,251861157.2,251861000,1149000
Opal Creek,OCS -2160,-3.99,0.81,251.854,251854000,251854000,1156000
Taşkent,TK 45.5,-2.7,1.63,251.853,251853095.8,251853000,1157000
Buchanan Lake,BL-525,-4.1,1.25,251.85,251850186.4,251850000,1160000
Buchanan Lake,BL-526,-3.1,1.25,251.842,251842220.3,251842000,1168000
Taşkent,TK 54.5,-2.2,1.63,251.84,251839660.1,251840000,1170000
Opal Creek,OCS -2100,-4.19,0.81,251.833,251833000,251833000,1177000
Dajiang,PDJ 59,-2.2,1.41,251.829,251829000,251829000,1181000
Taşkent,TK 62,-1.2,1.63,251.828,251828463.7,251828000,1182000
Buchanan Lake,BL-528,-4,1.25,251.826,251826288.1,251826000,1184000
Gujo-Hachiman,GH-3,-1.82,1.46,251.818,251818049.2,251818000,1192000
Buchanan Lake,BL-530,-2,1.25,251.81,251810355.9,251810000,1200000
Taşkent,TK 76.5,-2.2,1.63,251.807,251806817.4,251807000,1203000
Opal Creek,OCS -2015,-4.03,0.81,251.802,251802000,251802000,1208000
Opal Creek,OCS -2005P,-3.34,0.81,251.798,251798000,251798000,1212000
Buchanan Lake,BL-532,-3.1,1.25,251.794,251794423.7,251794000,1216000
Opal Creek,OCS -1955,-2.89,0.81,251.78,251780000,251780000,1230000
Opal Creek,OCS -1940P,-3.38,0.81,251.778,251778000,251778000,1232000
Buchanan Lake,BL-048,-2.7,1.25,251.777,251776500,251777000,1233000
Gujo-Hachiman,GH-29,-3.26,1.46,251.777,251777065.6,251777000,1233000
Opal Creek,OCS -1890,-2.84,0.81,251.771,251771000,251771000,1239000
Buchanan Lake,BL-051,-2.6,1.25,251.765,251764550.8,251765000,1245000
Gujo-Hachiman,GH-25,-2.83,1.46,251.752,251752475.4,251752000,1258000
Buchanan Lake,BL-055,-3,1.25,251.748,251747822,251748000,1262000
Taşkent,TK 125,-1.1,1.63,251.734,251734414,251734000,1276000
Buchanan Lake,BL-059,-2.6,1.25,251.732,251731889.8,251732000,1278000
Opal Creek,OCS -1765,-2.94,0.81,251.727,251727000,251727000,1283000
Dajiang,PDJ 69,-2.8,1.41,251.719,251719000,251719000,1291000
Buchanan Lake,BL-066,-2.3,1.25,251.704,251704008.5,251704000,1306000
Gujo-Hachiman,GH-2,-1.76,1.46,251.703,251703295.1,251703000,1307000
Buchanan Lake,BL-071,-2.1,1.25,251.684,251684093.2,251684000,1326000
Opal Creek,OCS -1595,-2.68,0.81,251.666,251666000,251666000,1344000
Gujo-Hachiman,GH-18,-1.54,1.46,251.662,251662311.5,251662000,1348000
Dajiang,PDJ 75,-3.7,1.41,251.629,251629000,251629000,1381000
Gujo-Hachiman,GH-17,-2.51,1.46,251.621,251621327.9,251621000,1389000
Dajiang,PDJ 80,-2.9,1.41,251.602,251602000,251602000,1408000
Gujo-Hachiman,GH-15,-1.14,1.46,251.589,251588541,251589000,1421000
Dajiang,PDJ 90,-1.8,1.41,251.575,251575000,251575000,1435000
Opal Creek,OCS -1330,-3.1,0.81,251.572,251572000,251572000,1438000
Gujo-Hachiman,GH-14,1.17,1.46,251.556,251555754.1,251556000,1454000
Gujo-Hachiman,GH-13,-1.19,1.46,251.523,251522967.2,251523000,1487000
Dajiang,PDJ 112,0,1.41,251.514,251514000,251514000,1496000
Opal Creek,OCS -1085,-3.28,0.81,251.485,251485000,251485000,1525000
Gujo-Hachiman,GH-12,-2.44,1.46,251.482,251481983.6,251482000,1528000
Gujo-Hachiman,GH-11,-2.14,1.46,251.457,251457393.4,251457000,1553000
Gujo-Hachiman,GH-10,-3.99,1.46,251.375,251375426.2,251375000,1635000
Opal Creek,OCS -760,-3.44,0.81,251.37,251370000,251370000,1640000
Gujo-Hachiman,GH-1,-2.3,1.46,251.343,251342639.3,251343000,1667000
Opal Creek,OCS -325,-2.79,0.81,251.216,251216000,251216000,1794000
Opal Creek,OCS +345,-2.48,0.81,250.979,250979000,250979000,2031000
Opal Creek,OCS +940,-2.85,0.81,250.768,250768000,250768000,2242000
Opal Creek,OCS +1880,-2.25,0.81,250.434,250434000,250434000,2576000
